epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.10979,2.48016,2.68319,0.93864,0.02653,0.7968,0.11692,0.03938,2.17296,3.16998,0.83808,0.000656085,0.000656085,0.000656085
2,15.2705,1.96539,1.3074,0.83479,0.93008,0.85225,0.90241,0.49594,1.64071,1.03158,0.78817,0.00129656,0.00129656,0.00129656
3,22.3587,1.96294,1.11637,0.83796,0.88152,0.87788,0.91602,0.44306,1.7609,0.80602,0.7818,0.00191064,0.00191064,0.00191064
4,29.3997,1.77138,0.9375,0.82585,0.9401,0.8999,0.93225,0.36593,2.24951,1.05941,0.82401,0.0018812,0.0018812,0.0018812
5,36.4539,1.66622,0.82088,0.82163,0.93152,0.91992,0.95585,0.49642,1.65171,0.71315,0.78291,0.0018416,0.0018416,0.0018416
6,43.4727,1.60331,0.7405,0.81847,0.95859,0.8979,0.94991,0.53757,1.53371,0.64137,0.77798,0.001802,0.001802,0.001802
7,50.5779,1.65801,0.71253,0.82022,0.96974,0.9029,0.96165,0.69252,1.13102,0.49889,0.75734,0.0017624,0.0017624,0.0017624
8,57.5495,1.5,0.64518,0.8134,0.96325,0.90891,0.96856,0.59481,1.36603,0.55539,0.77734,0.0017228,0.0017228,0.0017228
9,64.58,1.44948,0.62383,0.81239,0.96973,0.92492,0.973,0.68254,1.11742,0.48434,0.76904,0.0016832,0.0016832,0.0016832
10,71.5644,1.40597,0.59787,0.81182,0.98131,0.91992,0.97261,0.74381,0.9674,0.46603,0.76306,0.0016436,0.0016436,0.0016436
11,78.5908,1.41562,0.59858,0.81147,0.97494,0.9039,0.9637,0.59283,1.3708,0.55092,0.7709,0.001604,0.001604,0.001604
12,85.5697,1.3654,0.57196,0.80875,0.97969,0.90991,0.96175,0.60887,1.41071,0.52806,0.77395,0.0015644,0.0015644,0.0015644
13,92.5332,1.30229,0.56637,0.80392,0.95894,0.92192,0.96763,0.75267,0.94498,0.44547,0.76192,0.0015248,0.0015248,0.0015248
14,99.5857,1.24939,0.53851,0.80594,0.94528,0.93493,0.97103,0.65929,1.15837,0.50297,0.76873,0.0014852,0.0014852,0.0014852
15,106.64,1.16939,0.52372,0.8009,0.96587,0.93472,0.97321,0.80625,0.81977,0.41877,0.759,0.0014456,0.0014456,0.0014456
16,113.984,1.02653,0.47459,0.79846,0.98928,0.9239,0.97587,0.81943,0.80259,0.40925,0.75334,0.001406,0.001406,0.001406
17,121.242,1.02002,0.45989,0.79651,0.97109,0.94137,0.97036,0.83575,0.72401,0.39037,0.75567,0.0013664,0.0013664,0.0013664
18,128.298,1.00635,0.45182,0.7969,0.98591,0.92593,0.97927,0.85231,0.71134,0.38935,0.75392,0.0013268,0.0013268,0.0013268
19,135.266,0.96449,0.45073,0.79364,0.97852,0.93594,0.9793,0.85511,0.69143,0.38542,0.74996,0.0012872,0.0012872,0.0012872
20,142.223,0.92624,0.43699,0.79558,0.98619,0.92955,0.97846,0.85781,0.69298,0.3895,0.75345,0.0012476,0.0012476,0.0012476
21,149.246,0.90783,0.43058,0.7959,0.99089,0.93193,0.97967,0.87928,0.62861,0.36471,0.75463,0.001208,0.001208,0.001208
22,156.28,0.88923,0.42178,0.79374,0.98313,0.93193,0.97494,0.88141,0.6496,0.36606,0.75299,0.0011684,0.0011684,0.0011684
23,163.26,0.86339,0.41207,0.79236,0.98754,0.92893,0.97951,0.88671,0.59884,0.36025,0.75187,0.0011288,0.0011288,0.0011288
24,170.186,0.88828,0.4131,0.79427,0.99252,0.92968,0.97647,0.88233,0.61518,0.36564,0.75061,0.0010892,0.0010892,0.0010892
25,177.145,0.85603,0.40179,0.79375,0.98224,0.9409,0.97983,0.84971,0.69519,0.37784,0.75267,0.0010496,0.0010496,0.0010496
26,184.1,0.84597,0.39974,0.79134,0.97812,0.9396,0.98034,0.87981,0.65415,0.37023,0.75122,0.00101,0.00101,0.00101
27,191.075,0.80609,0.39106,0.791,0.98835,0.93402,0.98104,0.9147,0.54686,0.34447,0.74984,0.0009704,0.0009704,0.0009704
28,198.211,0.80708,0.38606,0.79058,0.98229,0.94362,0.98258,0.90993,0.55072,0.34706,0.74945,0.0009308,0.0009308,0.0009308
29,205.198,0.8233,0.3921,0.79064,0.98482,0.93594,0.97892,0.88293,0.64796,0.37479,0.75022,0.0008912,0.0008912,0.0008912
30,212.144,0.79811,0.38116,0.79017,0.98721,0.93594,0.98052,0.89733,0.60819,0.35832,0.74922,0.0008516,0.0008516,0.0008516
31,219.149,0.75055,0.37305,0.78714,0.98699,0.93594,0.97968,0.88838,0.63825,0.35572,0.74965,0.000812,0.000812,0.000812
32,226.141,0.72242,0.36731,0.79043,0.98734,0.93393,0.97986,0.91626,0.53723,0.34091,0.7492,0.0007724,0.0007724,0.0007724
33,233.135,0.73648,0.3735,0.78958,0.98632,0.9382,0.98136,0.91748,0.53287,0.33334,0.7488,0.0007328,0.0007328,0.0007328
34,240.145,0.70738,0.358,0.79027,0.98739,0.94081,0.98403,0.91875,0.55993,0.33654,0.75021,0.0006932,0.0006932,0.0006932
35,247.099,0.72831,0.36088,0.78813,0.98908,0.93694,0.98047,0.92685,0.49605,0.32965,0.74975,0.0006536,0.0006536,0.0006536
